# Force and moment coefficients
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# sideDir     : (0.000000e+00 0.000000e+00 -1.000000e+00)
# liftDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# rollAxis    : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 -1.000000e+00)
# yawAxis     : (0.000000e+00 1.000000e+00 0.000000e+00)
# magUInf     : 1.000000e+00
# lRef        : 1.000000e+00
# Aref        : 1.000000e+00
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	Cd            	Cd(f)         	Cd(r)         	Cl            	Cl(f)         	Cl(r)         	CmPitch       	CmRoll        	CmYaw         	Cs            	Cs(f)         	Cs(r)         
0.024         	6.998137e+01	3.499069e+01	3.499069e+01	-2.473608e+00	-1.274114e+00	-1.199494e+00	-3.731023e-02	-1.904452e-17	8.318508e-19	1.582421e-17	8.743956e-18	7.080255e-18
0.0528        	-4.183991e+00	-2.091995e+00	-2.091995e+00	5.969605e-01	2.755094e-01	3.214511e-01	-2.297084e-02	1.869793e-19	5.453479e-20	-2.662562e-19	-7.859330e-20	-1.876629e-19
0.0862606     	8.225205e+00	4.112603e+00	4.112603e+00	-3.567217e-01	-1.961743e-01	-1.605474e-01	-1.781347e-02	-3.228920e-20	-8.043011e-20	1.081498e-19	-2.635520e-20	1.345050e-19
0.125128      	-5.558157e-01	-2.779078e-01	-2.779078e-01	3.004166e-01	1.349574e-01	1.654592e-01	-1.525087e-02	7.783655e-20	-7.983185e-21	-1.694372e-19	-9.270179e-20	-7.673542e-20
0.169257      	6.243242e+00	3.121621e+00	3.121621e+00	-9.701855e-02	-6.065513e-02	-3.636341e-02	-1.214586e-02	1.075756e-19	-7.468577e-20	-1.125011e-19	-1.309363e-19	1.843521e-20
0.218869      	2.208558e+00	1.104279e+00	1.104279e+00	4.476557e-01	2.122576e-01	2.353981e-01	-1.157026e-02	1.385282e-19	-5.418520e-20	-3.677269e-19	-2.380486e-19	-1.296782e-19
0.273171      	1.066086e+01	5.330429e+00	5.330429e+00	4.045809e-01	1.934106e-01	2.111703e-01	-8.879885e-03	2.874885e-19	-1.465555e-19	-6.332720e-19	-4.631915e-19	-1.700805e-19
0.325704      	1.170097e+01	5.850486e+00	5.850486e+00	1.249179e+00	6.148270e-01	6.343518e-01	-9.762397e-03	4.623032e-19	-2.001058e-19	-1.218365e-18	-8.092884e-19	-4.090767e-19
0.373669      	2.875200e+01	1.437600e+01	1.437600e+01	2.012212e+00	9.974600e-01	1.014752e+00	-8.645863e-03	8.631970e-19	-4.034103e-19	-2.130422e-18	-1.468621e-18	-6.618005e-19
0.40383       	3.711873e+01	1.855937e+01	1.855937e+01	2.753141e+00	1.364523e+00	1.388618e+00	-1.204734e-02	1.200516e-18	-5.042430e-19	-2.658810e-18	-1.833648e-18	-8.251621e-19
0.421777      	3.846692e+01	1.923346e+01	1.923346e+01	1.852671e+00	9.098120e-01	9.428594e-01	-1.652369e-02	1.128825e-18	-4.474363e-19	-2.011888e-18	-1.453380e-18	-5.585078e-19
